DateTime,open,close,high,low
2022-03-24 07:30:00,445.88,445.86,445.94,445.79
2022-03-24 07:30:05,445.86,445.89,445.96,445.84
2022-03-24 07:30:10,445.89,445.96,445.96,445.84
2022-03-24 07:30:15,445.96,445.7,445.97,445.67
2022-03-24 07:30:20,445.7,445.87,445.95,445.69
2022-03-24 07:30:25,445.87,445.87,445.93,445.81
2022-03-24 07:30:30,445.87,445.74,445.87,445.66
2022-03-24 07:30:35,445.74,445.77,445.86,445.69
2022-03-24 07:30:40,445.77,445.67,445.78,445.65
2022-03-24 07:30:45,445.67,445.83,445.85,445.67
2022-03-24 07:30:50,445.83,445.92,445.95,445.83
2022-03-24 07:30:55,445.92,445.93,445.96,445.87
2022-03-24 07:31:00,445.93,445.77,445.94,445.65
2022-03-24 07:31:05,445.77,445.72,445.82,445.71
2022-03-24 07:31:10,445.72,445.66,445.74,445.58
2022-03-24 07:31:15,445.66,445.69,445.78,445.65
2022-03-24 07:31:20,445.69,445.66,445.74,445.61
2022-03-24 07:31:25,445.66,445.53,445.69,445.52
2022-03-24 07:31:30,445.53,445.53,445.56,445.5
2022-03-24 07:31:35,445.53,445.49,445.54,445.44
2022-03-24 07:31:40,445.49,445.57,445.6,445.46
2022-03-24 07:31:45,445.57,445.54,445.57,445.48
2022-03-24 07:31:50,445.54,445.51,445.55,445.48
2022-03-24 07:31:55,445.51,445.48,445.55,445.46
2022-03-24 07:32:00,445.48,445.35,445.48,445.34
2022-03-24 07:32:05,445.35,445.39,445.43,445.35
2022-03-24 07:32:10,445.39,445.44,445.44,445.32
2022-03-24 07:32:15,445.44,445.43,445.5,445.4
2022-03-24 07:32:20,445.43,445.53,445.54,445.41
2022-03-24 07:32:25,445.53,445.6,445.61,445.53
2022-03-24 07:32:30,445.6,445.58,445.62,445.47
2022-03-24 07:32:35,445.58,445.61,445.64,445.57
2022-03-24 07:32:40,445.61,445.58,445.64,445.57
2022-03-24 07:32:45,445.58,445.61,445.63,445.58
2022-03-24 07:32:50,445.61,445.5,445.62,445.5
2022-03-24 07:32:55,445.5,445.44,445.51,445.41
2022-03-24 07:33:00,445.44,445.37,445.45,445.35
2022-03-24 07:33:05,445.37,445.41,445.44,445.36
